iso_time,mono_time_s,step_dir,sensor_at_step_deg,target_cmd_deg,t_sensor_step_s,t_cmd_sent_s,t_motion_start_s,t_encoder_reach_s,sensor_to_cmd_ms,cmd_to_start_ms,sensor_to_start_ms,cmd_to_reach_ms,sensor_to_reach_ms
2025-11-01T20:20:06.704955,12392.684760,1,5.207,5.207,12392.523841,12392.533482,,12392.684693,9.6,,,151.2,160.9
2025-11-01T20:20:08.183868,12394.163645,-1,4.892,4.892,12393.963762,12393.973400,12394.084828,12394.163605,9.6,111.4,121.1,190.2,199.8
2025-11-01T20:20:29.004299,12414.984130,1,27.099,27.049,12414.884870,12414.893585,,12414.984037,8.7,,,90.5,99.2
2025-11-01T20:20:30.384370,12416.364172,-1,0.000,0.065,12416.284666,12416.293474,,12416.364107,8.8,,,70.6,79.4
2025-11-01T20:20:35.263963,12421.243760,1,5.658,5.658,12421.104318,12421.113397,,12421.243700,9.1,,,130.3,139.4
2025-11-01T20:20:36.543972,12422.523759,1,21.428,21.405,12422.424588,12422.433661,,12422.523708,9.1,,,90.0,99.1
2025-11-01T20:20:36.784454,12422.764261,-1,16.343,16.343,12422.604219,12422.613439,,12422.764192,9.2,,,150.8,160.0
2025-11-01T20:20:36.944283,12422.924112,-1,9.606,9.685,12422.783881,12422.793606,,12422.924021,9.7,,,130.4,140.1
2025-11-01T20:20:37.105953,12423.085774,-1,3.259,3.259,12422.944345,12422.953536,,12423.085692,9.2,,,132.2,141.3
2025-11-01T20:20:41.106110,12427.085951,1,35.397,35.397,12426.924231,12426.933430,,12427.085849,9.2,,,152.4,161.6
2025-11-01T20:20:42.424256,12428.404101,-1,0.000,0.042,12428.304291,12428.313398,,12428.403997,9.1,,,90.6,99.7
2025-11-01T20:20:43.184408,12429.164212,1,5.442,5.442,12429.024031,12429.033621,,12429.164146,9.6,,,130.5,140.1
2025-11-01T20:20:45.544265,12431.524105,-1,0.000,0.067,12431.443807,12431.453488,,12431.524009,9.7,,,70.5,80.2
2025-11-01T20:20:46.864221,12432.844052,1,5.277,5.277,12432.684829,12432.693371,,12432.843961,8.5,,,150.6,159.1
2025-11-01T20:20:47.223968,12433.203756,1,10.371,10.371,12433.023738,12433.033490,,12433.203705,9.8,,,170.2,180.0
2025-11-01T20:20:47.584675,12433.564491,1,15.385,15.385,12433.423946,12433.433899,,12433.564413,10.0,,,130.5,140.5
2025-11-01T20:20:48.004018,12433.983809,1,20.579,20.621,12433.885886,12433.893706,,12433.983755,7.8,,,90.0,97.9
2025-11-01T20:20:48.424251,12434.404076,1,26.032,26.032,12434.203644,12434.213414,,12434.403988,9.8,,,190.6,200.3
2025-11-01T20:20:49.664052,12435.643865,-1,0.000,0.100,12435.544157,12435.553806,,12435.643790,9.6,,,90.0,99.6
2025-11-01T20:20:52.644150,12438.623949,1,35.001,35.001,12438.523905,12438.533527,,12438.623887,9.6,,,90.4,100.0
2025-11-01T20:20:54.105693,12440.085493,-1,0.000,0.065,12440.003792,12440.013417,,12440.085431,9.6,,,72.0,81.6
